Model Name,Threshold,Cost,False Negative Count,False Negative Cost,False Positive Count,False Positive Cost,Auto Reject,Auto Approve
Random Forest,0.47999999999999976,24364,804,13668,764,10696,3355,6543
XGBoost,0.5299999999999998,38117,1627,27659,747,10458,2515,7383
Logistic Regression,0.47999999999999976,43145,1567,26639,1179,16506,3007,6891
Ensemble,0.4999999999999998,32374,1290,21930,746,10444,2851,7047
